0x807110,Name,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Class Relative Power,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Wind Level,Thunder Level,Def Promo Gain,Res Promo Gain,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
Swordmaster (M),_Swdmast,Desc_Swdmast,0xc,0x8,SwdmastMStand|IsPointer,0x0,0x73,0x6,40,12,15,15,7,3,0,7,80,27,30,30,22,18,20,3,100,30,30,30,30,10,0,0,5,NoRank,NoRank,2,3,SwordmasterUnlock|IsPromoted|CritBoost,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,SwdmastMAnims|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Swordmaster (F),_Swdmast,Desc_Swdmast,0xd,0x9,SwdmastFStand|IsPointer,0x0,0x73,0x6,40,12,15,15,7,3,0,7,80,27,30,30,22,18,20,3,100,30,30,30,30,10,0,0,5,NoRank,NoRank,2,3,SwordmasterUnlock|IsPromoted|CritBoost,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,SwdmastFAnims|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Hero (M),_Hero,Desc_Hero,0xe,0xa,HeroMStand|IsPointer,0x0,0x91,0x4,40,12,12,12,7,3,0,7,80,27,27,27,22,18,20,3,100,30,30,30,30,10,0,0,5,NoRank,NoRank,2,3,IsPromoted,ARank,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,HeroMAnims|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Hero (F),_Hero,Desc_Hero,0xf,0xb,HeroFStand|IsPointer,0x0,0x91,0x4,40,12,12,12,7,3,0,7,80,27,27,27,22,18,20,3,100,30,30,30,30,10,0,0,5,NoRank,NoRank,2,3,IsPromoted,ARank,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,HeroFAnims|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Thief (M),_Thief,Desc_Thief,0x10,0x12,ThiefMStand|IsPointer,0x0,0x8e,0x7,26,3,3,7,1,0,0,7,80,18,18,22,16,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,Steal|CanUseLockpick,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,ThiefMAnims|IsPointer,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,SwordType
Thief (F),_Thief,Desc_Thief,0x11,0x13,ThiefFStand|IsPointer,0x0,0x0,0x0,26,3,3,7,1,0,0,7,80,18,18,22,16,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,Steal|CanUseLockpick,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,ThiefFAnims|IsPointer,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,SwordType
Rogue (M),_Rogue,Desc_Rogue,0x12,0x10,RogueMStand|IsPointer,0x0,0x94,0x9,30,7,7,12,5,3,0,7,80,22,22,27,20,18,20,3,100,30,30,30,30,10,0,0,4,NoRank,NoRank,4,3,IsPromoted|CanUseLockpick|Steal,ARank,NoRank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,RogueMAnims|IsPointer,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,SwordType
Rogue (F),_Rogue,Desc_Rogue,0x13,0x11,RogueFStand|IsPointer,0x0,0x1,0x0,30,7,7,12,5,3,0,7,80,22,22,27,20,18,20,3,100,30,30,30,30,10,0,0,4,NoRank,NoRank,4,3,IsPromoted|CanUseLockpick|Steal,ARank,NoRank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,RogueFAnims|IsPointer,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,SwordType
Assassin (M),_Assass,Desc_Assass,0x14,0x10,AssassMStand|IsPointer,0x0,0x8e,0x8,30,7,10,12,5,3,0,7,80,22,27,27,20,18,20,3,100,30,30,30,30,10,0,0,4,NoRank,NoRank,4,3,CanUseLockpick|IsPromoted|SwordmasterUnlock|Lethality,ARank,NoRank,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,AssassMAnims|IsPointer,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,SwordType
Assassin (F),_Assass,Desc_Assass,0x15,0x11,AssassFStand|IsPointer,0x0,0x8e,0x8,30,7,10,12,5,3,0,7,80,22,27,27,20,18,20,3,100,30,30,30,30,10,0,0,4,NoRank,NoRank,4,3,CanUseLockpick|IsPromoted|SwordmasterUnlock|Lethality,ARank,NoRank,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,AssassFAnims|IsPointer,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,SwordType
Dancer,_Dancer,Desc_Dancer,0x16,0x16,DancerStand|IsPointer,0x0,0x8b,0x2a,26,3,1,7,1,3,0,6,80,18,16,22,16,18,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,CanDance,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,DancerAnims|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Fighter,_Fighter,Desc_Fighter,0x17,0x18,FighterStand|IsPointer,0x0,0x74,0x23,35,8,3,10,8,0,0,6,80,23,18,25,23,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,0x0,NoRank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,FighterAnims|IsPointer,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Warrior (M),_Warrior,Desc_Warrior,0x18,0x17,WarriorStandM|IsPointer,0x0,0x75,0x25,40,11,5,12,10,3,0,7,80,26,22,27,25,18,20,3,100,30,30,30,30,10,0,0,3,NoRank,NoRank,2,3,IsPromoted,NoRank,NoRank,ARank,BRank,NoRank,NoRank,NoRank,NoRank,WarriorMAnims|IsPointer,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Warrior (F),_Warrior,Desc_Warrior,0x19,0x1f,WarriorStandF|IsPointer,0x0,0x75,0x25,40,11,5,12,10,3,0,7,80,26,22,27,25,18,20,3,100,30,30,30,30,10,0,0,3,NoRank,NoRank,2,3,IsPromoted,NoRank,NoRank,ARank,BRank,NoRank,NoRank,NoRank,NoRank,WarriorFAnims|IsPointer,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Hunter,_Hunter,Desc_Hunter,0x1a,0x24,HunterStand|IsPointer,0x0,0x9b,0x0,35,7,0,7,5,0,0,6,80,22,16,23,21,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,0x0,NoRank,NoRank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,HunterAnims|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Barbarian,_Barbarian,Desc_Barbarian,0x1b,0x18,BarbarianStand|IsPointer,0x0,0x74,0x27,35,5,0,7,5,0,0,6,80,21,16,23,21,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,0x0,NoRank,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,BarbarianAnims|IsPointer,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Brigand (M),_Brigand,Desc_Brigand,0x1c,0x20,BrigandMStand|IsPointer,0x0,0x8b,0x0,35,5,0,7,5,0,0,6,80,21,16,23,21,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,0x0,NoRank,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,BrigandMAnims|IsPointer,0x880b94d,0x880bd9e,0x880c1ae,0x880c479,0x880c4ba,0x880c4fb,0x0
Brigand (F),_Brigand,Desc_Brigand,0x1d,0x21,BrigandFStand|IsPointer,0x0,0x8b,0x0,35,5,0,7,5,0,0,6,80,21,16,23,21,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,0x0,NoRank,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,BrigandFAnims|IsPointer,0x880b94d,0x880bd9e,0x880c1ae,0x880c479,0x880c4ba,0x880c4fb,0x0
Pirate (M),_Pirate,Desc_Pirate,0x1e,0x20,PirateMStand|IsPointer,0x0,0x8c,0x24,35,5,0,7,5,0,0,6,80,21,16,23,21,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,0x0,NoRank,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,PirateMAnims|IsPointer,0x880b98e,0x880bddf,0x880c1ef,0x880c479,0x880c4ba,0x880c4fb,0x0
Pirate (F),_Pirate,Desc_Pirate,0x1f,0x21,PirateFStand|IsPointer,0x0,0xa8,0x0,35,5,0,7,5,0,0,6,80,21,16,23,21,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,0x0,NoRank,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,PirateFAnims|IsPointer,0x880b98e,0x880bddf,0x880c1ef,0x880c479,0x880c4ba,0x880c4fb,0x0
Berserker (M),_Berserk,Desc_Berserk,0x20,0x1c,BerserkMStand|IsPointer,0x0,0x8d,0x26,40,12,4,12,10,3,0,7,80,30,22,27,24,18,20,3,100,30,30,30,30,10,0,0,4,NoRank,NoRank,2,3,IsPromoted|CritBoost,NoRank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,BerserkMAnims|IsPointer,0x880b90c,0x880bd5d,0x880c16d,0x880c479,0x880c4ba,0x880c4fb,0x0
Berserker (F),_Berserk,Desc_Berserk,0x21,0x1d,BerserkFStand|IsPointer,0x0,0x74,0x27,40,12,4,12,10,3,0,7,80,30,22,27,24,18,20,3,100,30,30,30,30,10,0,0,4,NoRank,NoRank,2,3,IsPromoted|CritBoost,NoRank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,BerserkFAnims|IsPointer,0x880b90c,0x880bd5d,0x880c16d,0x880c479,0x880c4ba,0x880c4fb,0x0
Archer (M),_Archer,Desc_Archer,0x22,0x24,ArcherMStand|IsPointer,0x0,0x78,0xa,30,7,10,10,5,0,0,6,80,22,25,25,20,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,UseBallista,NoRank,NoRank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,ArcherMAnims|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Archer (F),_Archer,Desc_Archer,0x23,0x25,ArcherFStand|IsPointer,0x0,0x78,0xa,30,7,10,10,5,0,0,6,80,22,25,25,20,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,UseBallista,NoRank,NoRank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,ArcherFAnims|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Sniper (M),_Sniper,Desc_Sniper,0x24,0x22,SniperMStand|IsPointer,0x0,0x79,0xb,40,12,12,12,7,3,0,7,80,27,27,27,22,18,20,3,100,30,30,30,30,10,0,0,5,NoRank,NoRank,2,3,IsPromoted|UseBallista|CritBoost,NoRank,NoRank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,SniperMAnims|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Sniper (F),_Sniper,Desc_Sniper,0x25,0x23,SniperFStand|IsPointer,0x0,0x79,0xb,40,12,12,12,7,3,0,7,80,27,27,27,22,18,20,3,100,30,30,30,30,10,0,0,5,NoRank,NoRank,2,3,IsPromoted|UseBallista|CritBoost,NoRank,NoRank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,SniperFAnims|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Adventurer (M),_Advent,Desc_Advent,0x26,0x22,AdventMStand|IsPointer,0x0,0x93,0xf,40,10,11,11,6,3,0,7,80,25,27,26,22,18,20,3,100,30,30,30,30,10,0,0,3,NoRank,NoRank,1,3,IsPromoted|UseBallista,NoRank,NoRank,NoRank,ARank,CRank,NoRank,NoRank,NoRank,AdventMAnims|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Adventurer (F),_Advent,Desc_Advent,0x27,0x23,AdventFStand|IsPointer,0x0,0x7c,0x12,40,10,11,11,6,3,0,7,80,25,27,26,22,18,20,3,100,30,30,30,30,10,0,0,3,NoRank,NoRank,1,3,IsPromoted|UseBallista,NoRank,NoRank,NoRank,ARank,CRank,NoRank,NoRank,NoRank,AdventFAnims|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Freeblade,_Freebld,Desc_Freebld,0x28,0x28,FreebldStand|IsPointer,0x0,0x7c,0x12,40,12,15,15,7,3,0,7,80,27,30,30,22,18,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,SwordmasterUnlock|IsPromoted|CritBoost,ARank,NoRank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,FreebldAnims|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Soldier,_Soldier,Desc_Soldier,0x29,0x2a,SoldierStand|IsPointer,0x0,0x8a,0x0,30,6,5,5,7,0,0,6,80,21,22,22,24,15,20,2,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,0x0,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,SoldierAnims|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Halberdier,_Halbrd,Desc_Halbrd,0x2a,0x29,HalbrdStand|IsPointer,0x0,0x7d,0x13,40,11,10,10,12,5,0,7,80,24,26,26,28,18,20,3,100,30,30,30,30,10,0,0,5,NoRank,NoRank,5,5,IsPromoted|CritBoost,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,HalbrdAnims|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Cavalier,_Cav,Desc_Cav,0x2b,0x2c,CavStand|IsPointer,0x0,0x80,0x20,30,7,6,6,6,0,0,8,80,22,21,21,21,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,MountedAid|HasCanto|HorseIcon,BRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,CavAnims|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,HorseType
Paladin (M),_Pal,Desc_PalM,0x2c,0x2b,PalMStand|IsPointer,0x0,0x81,0x21,40,9,9,9,9,5,0,9,80,24,24,24,24,20,20,3,100,30,30,30,30,10,0,0,2,NoRank,NoRank,3,5,MountedAid|HasCanto|HorseIcon|IsPromoted,BRank,BRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,PalMAnims|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Holy Knight,_HolyKnt,Desc_HolyKnt,0x2d,0x2b,HolyKntStand|IsPointer,0x0,0x8a,0x28,40,8,9,8,7,7,0,9,80,22,24,22,23,23,20,3,100,20,30,30,30,20,0,0,1,NoRank,NoRank,1,7,MountedAid|HasCanto|HorseIcon|IsPromoted,BRank,BRank,NoRank,NoRank,NoRank,NoRank,CRank,NoRank,HolyKntAnims|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Troubadour,_Trbdr,Desc_Trbdr,0x2e,0x30,TrbdrStand|IsPointer,0x0,0x82,0x19,26,3,6,6,3,3,0,8,80,18,21,21,18,18,20,3,100,30,30,30,20,10,0,0,0,NoRank,NoRank,0,0,MountedAid|HasCanto|HorseIcon,BRank,NoRank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,TrbdrAnims|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,HorseType
Valkyrie,_Valk,Desc_Valk,0x2f,0x2e,WalkStand|IsPointer,0x0,0x83,0x1a,40,5,9,9,5,9,0,9,80,20,24,24,20,24,20,3,100,10,30,30,10,30,0,0,3,NoRank,NoRank,3,5,MountedAid|HasCanto|HorseIcon|IsPromoted,BRank,NoRank,NoRank,NoRank,BRank,NoRank,CRank,NoRank,WalkAnims|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Paladin (F),_Pal,Desc_PalF,0x30,0x2e,PalFStand|IsPointer,0x0,0x81,0x21,40,9,9,9,9,5,0,9,80,24,24,24,24,20,20,3,100,30,30,30,30,10,0,0,6,NoRank,NoRank,6,2,MountedAid|HasCanto|HorseIcon|IsPromoted,BRank,CRank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,PalFAnims|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Free Knight,_FreeKnt,Desc_FreeKnt,0x31,0x32,FreeKntStand|IsPointer,0x0,0xa7,0x0,30,7,6,6,6,0,0,8,80,22,21,21,21,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,MountedAid|HasCanto|HorseIcon,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,FreeKntAnims|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,HorseType
Ranger,_Ranger,Desc_Ranger,0x32,0x31,RangerStand|IsPointer,0x0,0x97,0xc,40,8,15,12,8,3,0,9,80,23,30,27,23,18,20,3,100,30,30,30,30,10,0,0,1,NoRank,NoRank,2,3,HorseIcon|IsPromoted|MountedAid|HasCanto,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,RangerAnims|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Wanderer,_Wanderer,Desc_Wanderer,0x33,0x3a,WandererStand|IsPointer,0x0,0x97,0xc,40,8,12,15,8,3,0,9,80,23,27,30,23,18,20,3,100,30,30,30,30,10,0,0,1,NoRank,NoRank,2,3,HorseIcon|IsPromoted|MountedAid|HasCanto,BRank,NoRank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,WandererAnims|IsPointer,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,HorseType
DON'T TOUCH THIS,_0x0,_0x0,0x34,0x0,0x0,0x0,0xa6,0x0,40,0,0,0,0,0,0,0,80,30,30,30,30,30,25,3,100,10,30,30,10,30,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,MonsterType
Lance Knight,_LncKnt,Desc_LncKnt,0x35,0x36,LncKntStand|IsPointer,0x0,0x80,0x20,30,7,6,6,6,0,0,8,80,22,21,21,21,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,MountedAid|HasCanto|HorseIcon,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,LncKntAnims|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,HorseType
Duke Knight,_DukeKnt,Desc_DukeKnt,0x36,0x35,DukeKntStand|IsPointer,0x0,0xa1,0x0,40,12,7,7,8,3,0,9,80,27,22,22,23,18,20,3,100,30,30,30,30,10,0,0,5,NoRank,NoRank,2,3,HorseIcon|IsPromoted|MountedAid|HasCanto,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,DukeKntAnims|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Axe Knight,_AxeKnt,Desc_AxeKnt,0x37,0x38,AxeKntStand|IsPointer,0x0,0xa2,0x0,30,7,6,6,6,0,0,8,80,22,21,21,21,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,MountedAid|HasCanto|HorseIcon,NoRank,NoRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,AxeKntAnims|IsPointer,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,HorseType
